"config","best_method","best_accuracy","best_f1_macro","grouped_classes","train_labeled_rows","pseudo_accept_rate_rows","pseudo_accept_rate_cases","pseudo_accepted_cases"
"k15_c055_t060_m010","SelfTraining_RF","0.327361563517915","0.0978796575738767","16","2504","0.103882746207251","0.0963488843813388","190"
"k15_c050_t055_m005","SelfTraining_RF","0.321029082774049","0.0866148576882683","16","3705","0.197737207508357","0.175456389452333","346"
"k20_c055_t070_m010","SelfTraining_RF","0.307817589576547","0.0826939043122029","21","2504","0.00179994857289792","0.00152129817444219","3"
"k20_c055_t060_m010","SelfTraining_RF","0.294788273615635","0.0790962181877232","21","2504","0.0349704294163024","0.0268762677484787","53"
"k20_c055_t055_m005","SelfTraining_RF","0.307817589576547","0.0763299394213341","21","2504","0.0848547184366161","0.06947261663286","137"
"k30_c050_t060_m010","SelfTraining_RF","0.263982102908277","0.0636304471254696","31","3705","0.00822833633324762","0.00608519269776876","12"
"k30_c050_t055_m005","SelfTraining_RF","0.258389261744966","0.062865239952459","31","3705","0.0251992800205708","0.018762677484787","37"
"k30_c055_t070_m010","SelfTraining_RF","0.236156351791531","0.0525112130248246","31","2504","0.000257135510413988","0.00050709939148073","1"
